glottocode,name,replacement,relation
sout2889,Southeast Maluku,cent2245,
duru1248,Duru,duru1251,
mail1247,Mailuan,mail1249,
uncl1426,Unclassified Rajasthani,subc1234,
kong1287,Kongo (H.10),cent2260,
west1475,West Germanic,west2793,
rash1247,Rashad,rash1249,
keni1247,Keninjal-Kendayan,west2821,
cent2071,Central Malayo-Polynesian,cent2245,
lahu1251,Lahuic,laho1234,
yaop1238,Yao (P.20),ruvu1234,
west2410,West Bodish,west2796,
nort2841,North Northern New Caledonian,nort3211,
narr1265,Narrow Bantu D,narr1281,
west2367,Western Iranian,west2794,
comp1235,Compromise Middle Pama,comp1236,
ajaa1245,Aja,gbee1241,
wema1241,Wemale,thre1238,
akun1240,Akuntsu-Mekens,akun1243,
nucl1317,Nuclear Bodo,nucl1725,
thar1279,Tharu (Bihari),thar1284,
east2635,East Chadic B B.1,east2633,
grea1272,Greater Maric,guwa1245,
nort2800,Northwest Narrow Bantu,narr1281,
uncl1440,Unclassified Narrow Grassfields,uncl1480,
ital1280,Italic,roma1334,
kili1265,Kilivila-Louisiades,peri1258,
hima1246,Himalayish,maha1306,
port1282,Portuguese-Galician,macr1272,
west2517,West Fijian-Rotuman,cent2060,
saka1281,Saka (Eastern Iranian),east2704,
cent2239,Central-East Bodish,cent2294,classification update
okie1246,Okiek-Mosiro,okie1247,classification update
nort2817,North Omotic,gong1255,classification update
shek1246,Sheko-Nayi,dizo1235,classification update
haon1235,Haoni-Baihong,hani1250,classification update
elgo1239,Elgon,kale1246,classification update
taji1249,Tajikic,taji1250,classification update
ngad1262,Ngada-Lio-Paluqe,ngad1265,classification update
soge1234,Sogeram,soge1235,classification update
tair1259,Tairora,tair1260,classification update
nili1234,Ni-Li-Kazhouish,nili1235,classification update
nucl1711,Nuclear Austronesian,mala1545,classification update
mehr1240,Mehric,mode1252,classification update
nand1267,Nandi-Markweta,kale1246,classification update
moro1294,Morom-Jaya-Naba,moro1296,classification update
bagi1247,Bagirmic,bagi1248,classification update
core1253,Core Zpotec,core1259,classification update
sian1253,Siangic,koro1317,classification update
casi1236,Casiguranic,mala1545,classification update
nyas1243,Nyasa-Nyanja,east2731,classification update
cent2281,Central Shona,shon1250,classification update
soni1256,Soninke-Bobo,samo1308,classification update
dibo1248,Dibo-Kami-Gupa,nupe1258,classification update
reun1239,Reunion-Tayo French,macr1273,classification update
kuku1278,Kuku (Australian),comp1236,classification update
sout3167,Southeast Awyu,awyu1264,classification update
katu1275,Katukina,katu1274,classification update
wape1248,Wapei-Palei,nucl1708,classification update
pala1353,Palai,nucl1708,classification update
west2796,West Bodish,oldm1245,classification update
bara1400,Baramu-Were,nucl1713,classification update
cent2294,Central-East Bodish,bodi1257,classification update
nort3053,Northern Berber,berb1260,classification update
mana1297,Manambu-Sengo,nucl1642,classification update
uncl1463,Unclassified Kombio-Yambes,nucl1708,classification update
cent2256,Central and West Awyu,awyu1264,classification update
ghad1238,Ghadames-Awjila,berb1260,classification update
uncl1472,Unclassified Loloish,book1242,classification update
suku1273,Sukur-Matakam-Daba,sout3145,classification update
mara1415,Mara-Warndarang,mara1414,classification update
taim1253,Tai Meneic,taim1254,classification update
pata1264,Patani-Gebe,sout3231,classification update
chiq1251,Chiquitano,book1242,classification update
oith1238,Oi-The,nucl1299,classification update
mayb1236,Maybrat,book1242,classification update
supp1238,Suppire-Mamara,nort3254,classification update
turk1305,Turkish,nucl1762,classification update
uncl1481,Unclassified Lipo-Lolopo,book1242,classification update
nucl1700,Nuclear Lowland East Cushitic,main1283,classification update
deaf1236,Deaf Sign Language,book1242,classification update
kodi1250,Kodi-Laura,sumb1243,classification update
nucl1731,Nuclear Western Tani,suba1255,classification update
nort2892,North Bornean Malayo-Polynesian,nort3253,classification update
iber1251,Iberian-Romani,book1242,classification update
east2642,East Chadic A A.1,east2775,classification update
cent2083,Central Bontoc,cent2292,
gher1239,Ghera-Gurgula,gher1240,
foia1235,Foiafoian,hoya1236,classification update
sout3172,South Aru,aruu1241,classification update
bani1256,Baniva-Yavitero,nort2990,classification update
bani1257,Baniwaic,nort2990,classification update
kior1240,Kiorr-Kon,west2791,classification update
zund1234,Zunda,ngun1267,classification update
nucl1751,Nuclear Marquesic,cent2062,classification update
tahi1241,Tahitic,cent2062,classification update
eton1257,Eton-Mengisa,yaun1239,classification update
toba1281,Tobagonian Creole English,toba1282,duplicate
turk1309,Turks and Caicos Creole English,turk1310,duplicate
krio1247,Krio,krio1253,duplicate
limb1264,Limburgish (Macro-Dutch),limb1263,duplicate
puri1260,Puri,puri1261,classification update
itut1234,Itutang-Midsivindi-Akrukai,tamo1242,classification update
kerm1246,Kermanic,nort3177,classification update
mans1268,Mansoanka-Fore-Mboteni,atla1278,classification update
nucl1345,Nuclear Jola,bakk1238,classification update
chao1241,Chaochow,minn1241,classification update
duru1251,Duru,samb1323,classification update
sout3156,Southeastern Iranian,iran1269,classification update
jiar1239,Gyalrong,book1242,classification update
ngum1252,Ngumbin,ngum1251,classification update
oecu1234,Oe-Cusse,west2545,classification update
tush1242,Tushan Names,book1242,classification update
mala1543,Malayo-Portuguese Creole,macr1272,classification update
nucl1741,Nuclear Kongo-Yaka-Suku-Hungan,kong1295,classification update
atti1238,Attic,gree1276,classification update
atat1237,Ata-Tigwa,east2742,classification update
uncl1443,Unclassified Chocoan,choc1280,classification update
uncl1448,Unclassified Tucanoan,tuca1253,classification update
kami1261,Kami-Kupa-Gupa-Kakanda,nupe1252,classification update
uncl1474,Unclassified North-Central Edoid,nort3182,classification update
ural1275,Uralic (Unclassifiable),uncl1493,classification update
mwik1239,Mwika-Nyika,corr1234,classification update
gban1263,Gbanzili-Ngbaka,west2836,classification update
iroq1248,Iroquoian (Unclassifiable),uncl1493,classification update
uncl1464,Unclassified Greater Maric,grea1282,classification update
uncl1467,Unclassified Indo-Aryan,indo1321,classification update
uncl1460,Unclassified Sino-Tibetan,sino1245,classification update
kowa1246,Unclassified Madang,mada1298,classification update
monz1252,Monzombo-Baka,west2836,classification update
nupe1257,Nupe-Asu,nupe1252,classification update
bass1264,Bassaric,bass1263,classification update
uncl1480,Unclassified Narrow Grassfields,narr1282,classification update
uncl1484,Unclassified Core Kikongo,core1256,classification update
voko1241,Voko-Dowayo,samb1323,classification update
uusi1238,Uusimaa Swedish,swed1254,classification update
vere1248,Vere-Dowayo,samb1323,classification update
uncl1496,Unclassified Tamolan,tamo1242,classification update
semn1240,Semnanic,nort3177,classification update
tara1322,Tarahumara,tara1321,classification update
yiry1247,Yir-Yoront,coas1313,classification update
sund1254,Sundi-Kamba,core1256,classification update
west2794,Western Iranian,iran1269,classification update
nilo1235,Nilo-Saharan,birr1240,
nilo1235,Nilo-Saharan,surm1244,
nilo1235,Nilo-Saharan,tama1332,
nilo1235,Nilo-Saharan,nara1262,
nilo1235,Nilo-Saharan,kres1240,
nilo1235,Nilo-Saharan,gumu1244,
nilo1235,Nilo-Saharan,daju1249,
nilo1235,Nilo-Saharan,fura1235,
nilo1235,Nilo-Saharan,cent2042,
nilo1235,Nilo-Saharan,saha1256,
nilo1235,Nilo-Saharan,bert1248,
nilo1235,Nilo-Saharan,song1307,
nilo1235,Nilo-Saharan,east2386,
nilo1235,Nilo-Saharan,teme1251,
nilo1235,Nilo-Saharan,koma1264,
nilo1235,Nilo-Saharan,maba1274,
nige1235,Niger-Congo,katl1246,
nige1235,Niger-Congo,heib1243,
tork1235,Tor-Kwerba,kwer1262,
tork1235,Tor-Kwerba,saus1247,
maku1235,Maku,nada1235,
grea1235,Greater Sepik,sepi1253,
grea1235,Greater Sepik,biks1244,
tran1235,Trans-New Guinea,west2575,
tran1235,Trans-New Guinea,kolo1268,
tran1235,Trans-New Guinea,east2499,
tran1235,Trans-New Guinea,kamu1260,
tran1235,Trans-New Guinea,fasu1242,
tran1235,Trans-New Guinea,manu1261,
tran1235,Trans-New Guinea,koia1260,
tran1235,Trans-New Guinea,mari1437,
tran1235,Trans-New Guinea,west2604,
tran1235,Trans-New Guinea,inan1242,
tran1235,Trans-New Guinea,east2519,
tran1235,Trans-New Guinea,kwal1257,
tran1235,Trans-New Guinea,kaki1249,
tran1235,Trans-New Guinea,dibi1239,
tran1235,Trans-New Guinea,bosa1245,
tran1235,Trans-New Guinea,tana1288,
macr1235,Macro-Ge,chiq1248,
macr1235,Macro-Ge,fuln1247,
macr1235,Macro-Ge,kara1500,
macr1235,Macro-Ge,rikb1245,
macr1235,Macro-Ge,guat1253,
macr1235,Macro-Ge,aimo1246,
macr1235,Macro-Ge,kama1371,
aust1235,Australian,mani1293,
aust1235,Australian,nyul1245,
aust1235,Australian,mang1380,
aust1235,Australian,jarr1235,
aust1235,Australian,pama1248,
aust1235,Australian,marr1257,
aust1235,Australian,limi1242,
aust1235,Australian,giim1238,
aust1235,Australian,kung1259,
aust1235,Australian,anin1240,
aust1235,Australian,tiwi1244,
aust1235,Australian,yang1287,
torr1235,Torricelli,urim1252,
torr1235,Torricelli,nucl1589,
west1235,West Papuan,yawa1259,
tama1325,Tamangic,tama1367,
east2427,Eastern Mande,east2697,
sout2911,South Bisayan,sout3175,
boli1258,Bolivian Nawa,boli1261,
tido1246,Tidongic,tido1249,
kuli1253,Kulisusuic,east2490,
west2377,Western Hindi,west2812,
tano1244,Tano,tano1248,
holl1235,Hollandic,mode1257,
east2638,East Chadic B B.1 2,east2709,
cent2026,Central Jukunoid,cent2241,
mumu1247,Mumuye-Yandang,mumu1249,
taba1260,Tabar,taba1270,
nort2878,Northern Cordilleran,nort3173,
alor1248,Aloric,alor1250,
hoam1237,Hoamoal,hoam1238,
sant1409,Santalic,sant1457,
oaxa1240,Oaxaca Mixe,oaxa1241,
konj1248,Konja,konj1252,
kart1244,Kartvelian,kart1248,
nyaw1246,Nyawaygic,nyaw1248,
indo1314,Indo-Aryan Southern zone,indo1325,
badi1249,Badic,ngiz1243,
sout2791,Southeast Western Oti-Volta,sout3205,
fini1243,Finisterre-Saruwaged,fini1245,
mull1245,Muller-Schwaner 'Punan',mull1246,
sout2767,Southwest Pama,sout3141,
kaug1241,Kaugel,hage1248,
marn1241,Marngu,marr1265,
bryt1238,Brythonic,bryt1239,
bahn1260,Bahnaric,bahn1264,
sout3007,Southern Maipuran,sout3131,
cent2042,Central Sudanic,cent2225,
subg1265,Subgroup II,tupi1278,
guan1267,Guang,guan1278,
theb1236,Thebor,theb1237,
indo1308,Indo-Iranian,indo1320,
nort2809,Northern Bantoid,nort3168,
chag1249,Chaga,chag1250,
dayi1245,Dayic,kela1257,
akan1249,Akanic,akan1251,
west2426,Western Kra,west2798,
cent2054,Central-Eastern Malayo-Polynesian,cent2237,
cent1997,Central Dravidan,cent2227,
gaud1235,Gauda-Banga,gaud1238,
sbbo1236,SBB Occidental,nucl1719,
koro1300,Kororofa,juku1259,
germ1286,Germanic,germ1287,
cent1379,Central-East Bodish,cent2239,
nort2852,North New Guinea,nort3206,
tami1288,Tamiloid,tami1296,
dusu1273,Dusunic,dusu1277,
anat1246,Anatolian,anat1257,
tami1285,Tamil-Kota,tami1292,
nwab1238,Nwa-Ben,nwab1239,
masa1297,Masaba-Luyia (J.30),grea1291,
ulia1237,Uliase,ulia1238,
cent2059,Central Northern New Caledonian,newc1243,
araw1270,Arawe,araw1283,
nger1239,Ngero-Vitiaz,nger1241,
rhin1243,Rhine Franconian,fran1268,
mixt1424,Mixtec,mixt1427,
engl1280,English,macr1271,
momo1241,Momo,momo1242,
cent2019,Central Tano,cent2262,
naqi1235,Na-Qiangic,naqi1236,
loba1238,Lobala-Iboko,ngir1253,
namb1297,Nambiquaran,namb1299,
guru1270,Guruntum,guru1272,
swah1252,Swahili (G.40),swah1254,
choi1240,Choiseul,choi1242,
tupi1270,Tupian,tupi1275,
tong1317,Tonga Lenje-Tonga (M.60),lenj1247,
sout2710,South Dravidian II,sout3139,
kamt1235,Kam-Tai,kamt1241,
idom1257,Idomoid,idom1262,
suma1271,Sumalpan,suma1272,
chol1279,Cholan-Tzeltalan,chol1286,
shih1238,Shi-Havu (J.50),west2842,
east2451,East New Georgia,east2761,
sout2777,Southern Bullom,bull1246,
balk1238,Balkan Romance,macr1262,
quec1261,Quechua II,quec1388,
saba1266,Sabahan,nort2892,
meru1244,Meruic,cent2274,
cent2086,Central Bisayan,cent2263,
kumi1247,Kumilan,kumi1249,
iber1249,Ibero-Romance,west2838,
sena1261,Senari,senu1239,
mixe1282,Mixe,mixe1286,
nort2865,Northwest Seram,nort3221,
okie1244,Okiek-Mosiro,okie1246,
chad1247,Chadic,chad1250,
nort2453,Northern Iroquoian,nort2947,
nort2637,North Germanic,nort3160,
kala1395,Kalamic,kala1403,
west2431,West Hmongic,west2803,
