ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,LL_Code,Classification,Family_Glottocode,Family_Name,Language_Glottocode,Language_Name,Level,Status
ruri1238,Ruri,Africa,,,ruri1238,,kya-rur,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/sugu1245/kway1241,atla1278,Atlantic-Congo,kway1241,Kwaya,dialect,
nort3220,North Nyanza,,,,nort3220,,,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841,atla1278,Atlantic-Congo,,,family,
zinz1238,Zinza,Africa,-2.64132,32.1755,zinz1238,zin,zin,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841,atla1278,Atlantic-Congo,zinz1238,Zinza,language,threatened
kere1283,Kerewe,Africa,-2.09315,33.5326,kere1283,ked,ked,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841,atla1278,Atlantic-Congo,kere1283,Kerewe,language,threatened
ruta1242,Rutara,,,,ruta1242,,,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841,atla1278,Atlantic-Congo,,,family,
soga1244,Soga-Kenyi,,,,soga1244,,,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841/nort3220,atla1278,Atlantic-Congo,,,family,
syan1242,Syan,Africa,1.280475,34.337012,syan1242,,myx-sya,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841/nort3220,atla1278,Atlantic-Congo,syan1242,Syan,language,
gwer1238,Gwere,Africa,1.11392,33.8227,gwer1238,gwr,gwr,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841/nort3220,atla1278,Atlantic-Congo,gwer1238,Gwere,language,not endangered
gand1255,Ganda,Africa,0.66884,32.15153,gand1255,lug,lug,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841/nort3220,atla1278,Atlantic-Congo,gand1255,Ganda,language,not endangered
sing1266,Singa,Africa,-0.24587,33.8997,sing1266,sgm,sgm,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841/nort3220,atla1278,Atlantic-Congo,sing1266,Singa,language,extinct
keny1278,Kenyi,Africa,1.1513,33.4791,keny1278,lke,lke,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841/nort3220/soga1244,atla1278,Atlantic-Congo,keny1278,Kenyi,language,not endangered
soga1242,Soga,Africa,0.40456,33.3942,soga1242,xog,xog,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841/nort3220/soga1244,atla1278,Atlantic-Congo,soga1242,Soga,language,not endangered
teng1265,Tenga,Africa,,,teng1265,,xog-ten,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841/nort3220/soga1244/soga1242,atla1278,Atlantic-Congo,soga1242,Soga,dialect,
lamo1242,Lamogi,Africa,,,lamo1242,,xog-lam,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841/nort3220/soga1244/soga1242,atla1278,Atlantic-Congo,soga1242,Soga,dialect,
gabu1247,Gabula,Africa,,,gabu1247,,xog-gab,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841/nort3220/soga1244/soga1242,atla1278,Atlantic-Congo,soga1242,Soga,dialect,
ludi1247,Ludiopa,Africa,,,ludi1247,,lug-lud,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841/nort3220/gand1255,atla1278,Atlantic-Congo,gand1255,Ganda,dialect,
kook1242,Kooki,Africa,,,kook1242,,lug-koo,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841/nort3220/gand1255,atla1278,Atlantic-Congo,gand1255,Ganda,dialect,
sese1244,Sese,Africa,,,sese1244,,,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841/nort3220/gand1255,atla1278,Atlantic-Congo,gand1255,Ganda,dialect,
luvu1238,Luvuma,Africa,,,luvu1238,,lug-luv,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841/nort3220/gand1255,atla1278,Atlantic-Congo,gand1255,Ganda,dialect,
long1390,Longo,Africa,,,long1390,,,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841/zinz1238,atla1278,Atlantic-Congo,zinz1238,Zinza,dialect,
kula1278,Kula (Tanzania),Africa,,,kula1278,,,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841/zinz1238,atla1278,Atlantic-Congo,zinz1238,Zinza,dialect,
nort3228,North Rutara,,,,nort3228,,,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841/ruta1242,atla1278,Atlantic-Congo,,,family,
sout3202,South Rutara,,,,sout3202,,,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841/ruta1242,atla1278,Atlantic-Congo,,,family,
ruul1235,Ruuli,Africa,1.41726,32.4179,ruul1235,ruc,ruc,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841/ruta1242/nort3228,atla1278,Atlantic-Congo,ruul1235,Ruuli,language,not endangered
hema1238,Hema,Africa,1.04953,30.0872,hema1238,nix,nix,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841/ruta1242/nort3228,atla1278,Atlantic-Congo,hema1238,Hema,language,not endangered
nkor1240,Nkore-Kiga-Nyoro-Tooro,,,,nkor1240,,,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841/ruta1242/nort3228,atla1278,Atlantic-Congo,,,family,
tali1258,Talinga-Bwisi,Africa,0.676185,29.9494,tali1258,tlj,tlj,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841/ruta1242/nort3228,atla1278,Atlantic-Congo,tali1258,Talinga-Bwisi,language,threatened
west2477,Western Ruli,Africa,,,west2477,,ruc-wes,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841/ruta1242/nort3228/ruul1235,atla1278,Atlantic-Congo,ruul1235,Ruuli,dialect,
east2410,Eastern Ruli,Africa,,,east2410,,ruc-eas,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841/ruta1242/nort3228/ruul1235,atla1278,Atlantic-Congo,ruul1235,Ruuli,dialect,
nyor1247,Nyoro-Tooro,,,,nyor1247,,,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841/ruta1242/nort3228/nkor1240,atla1278,Atlantic-Congo,,,family,
nkor1241,Nkore-Kiga,,,,nkor1241,,,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841/ruta1242/nort3228/nkor1240,atla1278,Atlantic-Congo,,,family,
nyor1246,Nyoro,Africa,0.95294,31.3493,nyor1246,nyo,nyo,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841/ruta1242/nort3228/nkor1240/nyor1247,atla1278,Atlantic-Congo,nyor1246,Nyoro,language,not endangered
toor1238,Tooro,Africa,0.57291,30.6389,toor1238,ttj,ttj;nix-tor,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841/ruta1242/nort3228/nkor1240/nyor1247,atla1278,Atlantic-Congo,toor1238,Tooro,language,not endangered
ruta1240,Rutagwenda,Africa,,,ruta1240,,nyo-rut,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841/ruta1242/nort3228/nkor1240/nyor1247/nyor1246,atla1278,Atlantic-Congo,nyor1246,Nyoro,dialect,
orun1241,Orunyoro,Africa,,,orun1241,,,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841/ruta1242/nort3228/nkor1240/nyor1247/nyor1246,atla1278,Atlantic-Congo,nyor1246,Nyoro,dialect,
tuku1253,Tuku,Africa,,,tuku1253,,ttj-tuk,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/west2841/ruta1242/nort3228/nkor1240/nyor1247/toor1238,atla1278,Atlantic-Congo,toor1238,Tooro,dialect,
